customer_id,company_name,sector,region,lead_source,deal_id,product,deal_size_gbp,pipeline_stage,win_probability,outcome,created_date,follow_up_count,response_time_days,month_year,month_sort
NHC-1160,Vantage Life Sciences,Hospital Pharmacy,Scotland,Trade Show,DEAL-1160,Oleochemicals / Lubricants,6900.0,Prospect,17,-1,2023-08-05,0,0,Aug 2023,2023-08
NHC-1212,Crest Life Sciences,Retail Pharmacy Chain,North West England,Distributor,DEAL-1212,Organic Chemicals / Binders,19100.0,Negotiation,56,-1,2023-08-06,3,25,Aug 2023,2023-08
NHC-1164,Altum Therapeutics,Retail Pharmacy Chain,London,LinkedIn Outreach,DEAL-1164,Oleochemicals / Lubricants,25500.0,Contacted,15,-1,2023-08-09,1,3,Aug 2023,2023-08
NHC-1224,Orbis API Ltd,CDMO / Generic Manufacturer,South East England,Cold Email,DEAL-1224,Film Coating Excipients,90800.0,Closed Lost,6,0,2023-08-13,4,24,Aug 2023,2023-08
NHC-1196,Syntek Biotech,Licensed Specials Manufacturer,Germany,LinkedIn Outreach,DEAL-1196,Oleochemicals / Lubricants,48000.0,Quoted,38,-1,2023-08-15,3,6,Aug 2023,2023-08
NHC-1094,Nexus Healthcare,Retail Pharmacy Chain,Germany,Trade Show,DEAL-1094,Organic Chemicals / Binders,29500.0,Negotiation,61,-1,2023-08-16,3,11,Aug 2023,2023-08
NHC-1000,Clarix Biologics,Retail Pharmacy Chain,London,LinkedIn Outreach,DEAL-1000,Film Coating Excipients,36500.0,Negotiation,54,-1,2023-08-16,3,17,Aug 2023,2023-08
NHC-1203,Vitagen Chemicals,Licensed Specials Manufacturer,Wales,Cold Email,DEAL-1203,Film Coating Excipients,29300.0,Quoted,42,-1,2023-08-20,2,11,Aug 2023,2023-08
NHC-1026,Crest Medical,Retail Pharmacy Chain,South East England,Referral,DEAL-1026,Oleochemicals / Lubricants,17900.0,Prospect,4,-1,2023-08-24,0,0,Aug 2023,2023-08
NHC-1215,Syntek Medical,Hospital Pharmacy,Yorkshire,Cold Email,DEAL-1215,Organic Chemicals / Binders,29100.0,Negotiation,67,-1,2023-08-24,3,14,Aug 2023,2023-08
NHC-1158,Centrix Biotech,Nutraceutical Producer,Republic of Ireland,Distributor,DEAL-1158,Organic Chemicals / Binders,18500.0,Closed Won,97,1,2023-08-24,5,18,Aug 2023,2023-08
NHC-1216,Calibra API Ltd,CDMO / Generic Manufacturer,Yorkshire,Distributor,DEAL-1216,Film Coating Excipients,32700.0,Contacted,30,-1,2023-08-24,2,3,Aug 2023,2023-08
NHC-1104,Orbis Formulations,Retail Pharmacy Chain,North West England,Referral,DEAL-1104,Organic Chemicals / Binders,22600.0,Contacted,29,-1,2023-08-25,2,2,Aug 2023,2023-08
NHC-1211,Enovis Life Sciences,Nutraceutical Producer,Scotland,Trade Show,DEAL-1211,Film Coating Excipients,8500.0,Contacted,30,-1,2023-09-02,1,6,Sep 2023,2023-09
NHC-1012,Calibra Biotech,Licensed Specials Manufacturer,South East England,LinkedIn Outreach,DEAL-1012,Oleochemicals / Lubricants,30100.0,Prospect,2,-1,2023-09-08,0,0,Sep 2023,2023-09
NHC-1190,Pinnacle Labs,Hospital Pharmacy,Germany,Cold Email,DEAL-1190,Oleochemicals / Lubricants,25200.0,Negotiation,62,-1,2023-09-10,4,30,Sep 2023,2023-09
